{\rtf1\ansi\ansicpg1252\cocoartf1504\cocoasubrtf830
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
subject06.rightlight.jpeg 2\
subject06.sad.jpeg 0\
subject06.sleepy.jpeg 0\
subject06.surprised.jpeg 0\
subject06.wink.jpeg 0\
subject07.centerlight.jpeg 1\
subject07.glasses.jpeg 0\
subject07.happy.jpeg 2\
subject07.leftlight.jpeg 1\
subject07.noglasses.jpeg 1\
subject07.normal.jpeg 1\
subject07.rightlight.jpeg 1\
subject07.sad.jpeg 1\
subject07.sleepy.jpeg 0\
subject07.surprised.jpeg 0\
subject07.wink.jpeg 0\
subject08.centerlight.jpeg 1\
subject08.glasses.jpeg 1\
subject08.happy.jpeg 2\
subject08.leftlight.jpeg 1\
subject08.noglasses.jpeg 1\
subject08.normal.jpeg 2\
subject08.rightlight.jpeg 2\
subject08.sad.jpeg 0\
subject08.sleepy.jpeg 0\
subject08.surprised.jpeg 0\
subject08.wink.jpeg 0\
subject09.centerlight.jpeg 1\
subject09.glasses.jpeg 1\
subject09.happy.jpeg 2\
subject09.leftlight.jpeg 1\
subject09.noglasses.jpeg 1\
subject09.normal.jpeg 1\
subject09.rightlight.jpeg 0\
subject09.sad.jpeg 0\
subject09.sleepy.jpeg 0\
subject09.surprised.jpeg 1\
subject09.wink.jpeg 0\
subject10.centerlight.jpeg 1\
subject10.glasses.jpeg 0\
subject10.happy.jpeg 2\
subject10.leftlight.jpeg 1\
subject10.noglasses.jpeg 0\
subject10.normal.jpeg 1\
subject10.rightlight.jpeg 1\
subject10.sad.jpeg 0\
subject10.sleepy.jpeg 0\
subject10.surprised.jpeg 2\
subject10.wink.jpeg 0\
subject11.centerlight.jpeg 1\
subject11.glasses.jpeg 1\
subject11.happy.jpeg 2\
subject11.leftlight.jpeg 1\
subject11.noglasses.jpeg 1\
subject11.normal.jpeg 1\
subject11.rightlight.jpeg 1\
subject11.sad.jpeg 0\
subject11.sleepy.jpeg 0\
subject11.surprised.jpeg 2\
subject11.wink.jpeg 0\
subject12.centerlight.jpeg 1\
subject12.glasses.jpeg 1\
subject12.happy.jpeg 2\
subject12.leftlight.jpeg 0\
subject12.noglasses.jpeg 1\
subject12.normal.jpeg 1\
subject12.rightlight.jpeg 0\
subject12.sad.jpeg 0\
subject12.sleepy.jpeg 0\
subject12.surprised.jpeg 2\
subject12.wink.jpeg 0\
subject13.centerlight.jpeg 1\
subject13.glasses.jpeg 1\
subject13.happy.jpeg 2\
subject13.leftlight.jpeg 1\
subject13.noglasses.jpeg 1\
subject13.normal.jpeg 1\
subject13.rightlight.jpeg 1\
subject13.sad.jpeg 0\
subject13.sleepy.jpeg 0\
subject13.surprised.jpeg 2\
subject13.wink.jpeg 0\
subject14.centerlight.jpeg 1\
subject14.glasses.jpeg 1\
subject14.happy.jpeg 2\
subject14.leftlight.jpeg 1\
subject14.noglasses.jpeg 2\
subject14.normal.jpeg 1\
subject14.rightlight.jpeg 1\
subject14.sad.jpeg 0\
subject14.sleepy.jpeg 0\
subject14.surprised.jpeg 0\
subject14.wink.jpeg 0\
subject15.centerlight.jpeg 1\
subject15.glasses.jpeg 1\
subject15.happy.jpeg 2\
subject15.leftlight.jpeg 1\
subject15.noglasses.jpeg 1\
subject15.normal.jpeg 0\
subject15.rightlight.jpeg 0\
subject15.sad.jpeg 0\
subject15.sleepy.jpeg 0\
subject15.surprised.jpeg 2\
subject15.wink.jpeg 0}
